Level,Level 1 - Site,Level 2 - Facility,Level 3 - Area Code,Level 3 - Area Name,Level 4 - Sub-Area,Level 5 - System / Parent Asset,Level 5 - Functional Location,Level 6 - Asset Number,Level 6 - Equipment Name,Level 6 - Functional Location,Level 6 - P&ID Tags,Level 7 - Component Code,Level 7 - Component Type,Level 7 - Component Name,Level 7 - Manufacturer,Level 7 - Model,Level 7 - Serial Number,Level 7 - P&ID Tags,Level 7 - Oil Type,Level 7 - Oil Volume,Level 7 - Input Speed,Level 7 - Output Speed,Level 7 - Weight,Level 7 - Motor Speed,Level 7 - Protection,Level 7 - Voltage,Level 7 - Pump Flow,Level 7 - Operating Pressure,Level 7 - Displacement,Level 7 - Motor Ref,Level 7 - Pump Ref
1,TCMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-006,Power Station Generator 6 500kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-007,Power Station Generator 7 500kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-008,Power Station Generator 8 500kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-009,Admin Generator 50kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-010,Spare,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-011,Nobles Natural Sump Generator 30kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-012,Lab Generator 30kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-013,Crusher Fuel Farm 15kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-016,Juno Bore Generator 200kVA,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,GEN01 Generation,,17-GN-017,Mining Workshop 75kVA,,,,,,,,,,,,,,,,,,,,,
5,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,SOL01 Solar Reticulation,,,,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,SOL01 Solar Reticulation,,SOL-ARR01,Solar Arrays,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,SOL01 Solar Reticulation,,SOL-INV01,Inverter,,,,,,,,,,,,,,,,,,,,,
6,TCMG,Processing Plant,UTL,Utilities & Power,Electrical / Controls,SOL01 Solar Reticulation,,SOL-BESS01,BESS,,,,,,,,,,,,,,,,,,,,,
